,article,label
10,"Um Ungläubige zu töten – Afrika-Flüchtling schleppt offene TBC in Schule – 88 InfizierteNoch krasser als der Fäkalien-Jihad: Wie das Landratsamt Altötting am Montag, 20. November mitteilt, wurde bereits am 16. Oktober 2017 eine 20-jährige Frau aus Somalia in die Kreisklinik Altötting stationär aufgenommen, die seit Anfang Oktober an Husten, Fieber und Schwäche litt. In der Kreisklinik wurde die Erkrankung als offene Lungentuberkulose diagnostiziert. Seit März besucht die junge Frau eine Berufsintegrationsklasse der Beruflichen Schulen Altötting-Unterneukirchen. Das Gesundheitsamt Altötting hat im Rahmen seiner Umgebungsuntersuchung 88 Kontaktpersonen der erkrankten Frau ermittelt. Als Kontaktpersonen werden entsprechend den Empfehlungen des Deutschen Zentralkomitees zur Bekämpfung der Tuberkulose (DZK) unter anderem Menschen angesehen, die in den letzten sechs Monaten vor Erkrankung an einer mikroskopisch offenen Lungentuberkulose in Summe mehr als acht Stunden gemeinsam mit dem Erkrankten in einem geschlossenen Raum zugebracht haben. ",1
11,"Hund rettet Oma (60) bei Überfall durch schwarzhäutigen Flüchtling – Vergewaltigung vereiteltDer Hund verdient einen Orden. Der Oma (60) aus Hochemmerich ist die Vergewaltigung erspart geblieben, da der Hund sofort zubiss. Der Täter (schwarze Hautfarbe) konnte leider fliehen. Die Polizei bittet um Mithilfe bei der Suche. Er dürfte dank des klugen Hundes eine tiefe Fleischwunde am Unterarm davon getragen haben… Dafür gibt´s extra Leckerlis.  ",1
12,"Rentnerin vs. Refugee – Krücke als Vergewaltigungs- und RaubschutzFrau schlägt Dieb in die Flucht. Langwedel. Ein unbekannter junger Mann hat am Freitag Morgen gegen 10:15 Uhr versucht, einer 79jährigen Frau aus Langwedel etwas aus der Handtasche zu entwenden. Die Dame war mit einer Gehhilfe im Bereich des Langwedeler Bahnhofs unterwegs und bemerkte das Ruckeln an ihrer Tasche. Sie drehte sich um, sprach den jungen Mann an und drohte ihm mit der Gehhilfe, sodass dieser augenblicklich von seiner Tat abließ und in Richtung Bahnsteig flüchtete. Zeugenangaben zufolge soll der 15 bis 17jährige Jugendliche dann die Bahn in Richtung Bremen bestiegen haben. Er wird beschrieben als 160 cm großer Teenager mit südosteuropäischem Aussehen, bekleidet mit blauer Jacke und schwarzer Hose. Hinweise auf den unbekannten Täter nimmt die Dienststelle in Langwedel unter 04232-7617 entgegen.  ",1
13,"82jährige Glück gehabt, dass Flüchtling grad nicht geil war. Nur auf Friedhof ausgeraubt.Rentner-Genozid durch “Flüchtlinge” im #Kriegswinter2017. Da kann die Oma von Glück reden, dass der werte Herr Flüchtling nicht grad geil war, sonst wäre sie auf dem Friedhof zur sexuellen Bereicherung fällig gewesen. So wurde sie nur zusammengeschlagen und ausgeraubt. Er nahm die alte Frau an den Haaren, um ihren Schädel auf dem Grabstein ihres Mannes zu zertrümmern. Dann stieß er die Omi um und raubte ihre Handtasche… Wann wird mit diesem Gelichter endlich kurzer Prozess gemacht?  ",1
14,"Sockenlose Bundeswehr-Soldaten in Islam-Sekten-Moschee zwangsislamisiertEine Delegation der deutschen Bundeswehr, Dienstleistungszentrum Hannover, hatte sich am 21. November zu einem Seminar in der örtlichen Ahmadiyya-Moschee eingefunden. Anscheinend im Zuge einer von den Ahmadiyya-Moscheen ins Leben gerufenen Kampagne „Wir sind alle Deutschland“ versammelte man sich dort zu einem Vortrag über die “Philosophie und die Lehrmethoden des Islam”. Oberste Landesverteidiger bei Islam-Seminar in Socken ",1
15,"Vergewaltigungs-Jihad: Gruppenvergewaltigung am S-Bahnhof StellingenDie Hamburger Polizei hat in der vergangenen Nacht zwei 23-jährige Albaner festgenommen, die eine Frau in der Nähe des S-Bahnhofs Stellingen vergewaltigt haben sollen.

Wie die Polizei berichtet, war eine Zeugin gegen 23.45 Uhr auf dem Vorplatz des S-Bahnhofs auf Hilferufe aufmerksam geworden. Als sie diesen nachging, sah sie zwei Männer, von denen einer eine Frau festhielt, während der zweite sexuelle Handlungen an ihr vornahm. Die Zeugin ging auf sie zu und rief ebenfalls um Hilfe. Daraufhin ließen die beiden Männer von ihrem Opfer ab und flüchteten. Quelle: freiezeiten.net ",1
16,"Arme Flüchtlinge müssen zur Tafel, weil sie im Jahr Milliarden Eurer Steuern in die Heimat schickenNur weil Ihr fragt, was die vollversorgten Merkel-Gäste bei den Tafeln machen. Wer 4,2 Milliarden Euro in die Heimat schickt, der hat natürlich kein Geld mehr übrig, um sich etwas zu Essen in Essen zu kaufen. Und wenn es bei den Tafeln das Essen gratis gibt und der Merkel-Befehl erging, dass es nicht anginge, dass diese Geflüchteten wegen der anderweitigen Vollpension von den Tafeln abgewiesen würden, ist es verständlich, dass diese Menschen dieses Angebot wahrnehmen. Die 4,2 Milliarden sind übrigens Euer Geld, Eure Steuern, welche Euch von korrupten Politikern der Altparteien geraubt wurden. Und das wird so weitergehen, wenn Ihr nicht dagegen langsam mal geschlossen den Mund aufmacht… Wenn Ihr das nicht ändern wollt, dann heisst es, länger, härter und schneller arbeiten und Gürtel enger schnallen. Aber Maas sagt ja, dass uns nichts weggenommen wird, weil der Staat “gut gewirtschaftet” habe 😀 😀 😀  ",1
17,"Massiver Islamistenangriff am 24.12.2017 auf Polizei in ReutlingenEs ist Krieg. Unsere ReGIERung verheimlicht diese Tatsache und setzt damit alle Bürger, welche schon länger hier leben, der permanenten Lebensgefahr aus. Die Polizei bleibt zahnlos, da die Schießbefehle auf die islamistischen Terrorgruppen nicht gegeben werden. Wie lange dulden wir dieses steinzeitliche Verhalten der Invasoren noch in unserem Land ohne Widerstand zu leisten?  ",1
18,Seit Öffnung der Bundeswehr für Islamisten Vergewaltigungen sprunghaft gestiegenBei der Bundeswehr ist die Zahl der gemeldeten Sexualstraftaten einem Zeitungsbericht zufolge sprunghaft angestiegen. Besonders stark erhöht hätten sich die gemeldeten Verdachtsfälle von Vergewaltigung. Das berichtete die “Bild am Sonntag” unter Berufung auf Zahlen aus dem Bundesverteidigungsministerium. Auch die Gesamt-Verdachtsfälle von sexuellen Übergriffen hätten in diesem Jahr stark zugenommen.  ,1
19,"Zu Heiligabend: Islamist zündet Hund bei lebendigem Leibe an#dankemerkel Nach Frauen und Kindern müssen sich jetzt auch Hunde und ihre Besitzer hüten, gerade an christlichen Feiertagen auf die Straße zu gehen, um nicht Gefahr zu laufen, vergewaltigt, abgestochen und oder angezündet zu werden. Dass es ein offensichtlich muslimischer Zeitvertreib ist, Obdachlose bei lebendigem Leibe zu verbrennen, hat uns die jüngere Vergangenheit hinreichend gelehrt. Nun sind die Hunde, welche im Islam verpönt und verhasst sind, dran.  ",1
20,Köln: Polizei hat Ebertplatz aufgegeben und den Migranten überlassenNächste No-Go-Area in Köln. Polizei zieht sich zurück und überlässt den islamischen Migranten die Sorge für “Recht und Ordnung”. Die Polizei wird am Samstagabend wieder zu einem Einsatz am Ebertplatz gerufen. Nach derzeitigem Ermittlungsstand kam es gegen 21.45 Uhr mitten auf dem Platz zwischen dem 22-jährigen und einer Gruppe von fünf bis sechs jungen Männern zum Streit und zu einer körperlichen Auseinandersetzung. ,1
21,"Linkssiff-Polizeichef Merbitz kollaboriert offen mit Linksterroristen“Bernd Merbitz absolvierte von 1984 bis 1986 ein Studium an der Hochschule der Deutschen Volkspolizei Berlin mit dem Abschluss als Diplom-Staatswissenschaftler. 1989 hatte er den Dienstrang eines Majors der Kriminalpolizei.” (Wiki). Bei dieser Vita wäre es nicht verwunderlich, wenn er seinen Dienst bei “Schild und Schwert” einfach unterschlagen hätte wie so viele Profiteure des SED-Regimes. Darum ist es konsequent, wenn Merbitz regelmäßig die ihm unterstehende Polizei zu Gunsten der Linksterroristen einsetzen lässt, oder ganze Hundertschaften strategisch so postiert, dass, wenn es mal “gegen” den Linksterror in Leipzig geht, diese regelmäßig verheizt werden.  ",1
22,"“Flüchtlinge” oder “Nazis” klauten Özdemirs E-Bike (Fahrrad)Dass E-Bikes überhaupt unökologisch sind, sollte jedem geistig Bemittelten klar sein, weil ja eben konventionelle Energie auch noch zugeführt werden muss. Naja egal, zu jenen Menschen gehört Özdemir offensichtlich nicht. Auf jeden Fall wurde er jetzt Opfer der Geister, welche er zu Millionen mit importieren hilft. Sein Fahrrad wurde geklaut… Von “Flüchtlingen”! Obwohl, da in Berlin wohl am Tag 88 (Achtundachtzig) Fahrräder geklaut werden, müssen es wohl doch Nazis gewesen sein… Opfer eines Fahrraddiebs zu werden, ist ein Schicksal, das viele Berliner kennen: Im Schnitt werden täglich 88 Zweiräder gestohlen, ergab eine Studie. Nun hat es auch Grünen-Chef Cem Özdemirgetroffen. ",1
23,"Mitten in Deutschland – Islamist schächtet seine eigene Tochter (2)Ein zweijähriges Mädchen ist in Hamburg späten Montagabend vermutlich von seinem Vater getötet worden. Der Mann war am Dienstagmorgen nach Angaben der Polizei noch auf der Flucht. / Schächten oder Schechita (hebr. שחט šacḥaṭ „schlachten“) ist das rituelle Schlachten von koscheren Tieren, insbesondere im Judentum und im Islam. Die Tiere werden mit einem speziellen Messer mit einem einzigen großen Schnitt quer durch die Halsunterseite, in dessen Folge die großen Blutgefäße sowie Luft- und Speiseröhre durchtrennt werden, getötet. Mit dem Schächten soll das möglichst rückstandslose Ausbluten des Tieres gewährleistet werden. (Wiki)  ",1
24,"Neue Spielplatzverordnung – ab 20 % Muslime nur noch Spielplätze in IslamoptikGeht es nach linksgrünen Bestrebungen, werden künftig nur noch Moscheen und Minarette die Optik auf Spielplätzen prägen sowie ein Bevölkerungsanteil im jeweiligen Wohngebiet an muslimischen Mitbürgern die Marke von 20 % überschreitet. Neuer #Spielplatz in #Schmalkalden – aber “eine #Islamisierung findet nicht statt”  ",1
25,"Kriegswinter 2017: Rentner in Lübeck durch Flüchtling erschlagen#dankemerkel Die Wahrscheinlichkeit, den Jahreswechsel außerhalb des Leichenschauhauses zu erleben, sinkt für viele Rentner in Deutschland gegen Null. Flüchtlinge drehen am Rad und morden sich durch die christliche Weihnachtszeit. Jeder Tote macht Merkels Leichenberg höher und höher. Merkel-Poller auf Weihnachten nützten überhaupt nichts, um die Bevölkerung (die hier schon länger lebt) vor Merkels “Gästen” zu schützen. Das kollektive Morden im Namen Allahs stellt jeden Terroranschlag in den Schatten.  ",1
26,"Genozid: Wieder Obdachloser durch Flüchtlinge gesteinigt und lebendig begrabenFlüchtlinge helfen aktiv, das Obdachlosen-Problem in Deutschland zu lösen. Allerorten werden Obdachlose durch Flüchtlinge brutal zusammengeschlagen, angezündet. Neuerdings auch gesteinigt und lebendig begraben. Hat das System? Ist es politisch durch die Merkel-Junta gewollt? Obdachlose sind natürlich für jedes System eine schlechte Visitenkarte und wenn Merkels Scharia-Polizei für die Endlösung der Obdachlosen-Frage sorgt, dürfte für die amtierenden Altpartei-Politverbrecher alles in Butter sein.  ",1
27,"Altpartei-Politmaden fordern muslimische Lieder zu Weihnachten in KirchenNein, das hat natürlich wieder nichts mit dem Islam zu tun. Um terrorwütige Moslems zu besänftigen und an Anschlägen auf Weihnachtsmärkten zu hindern, sollen – geht es nach den korrupten Politmaden der Altparteien (CDU, SPD, Grüne, Linke, FDP), dass in den Kirchen ausschließlich muslimischer Singsang statt christlichen Chorälen erklingen… #Neuwahlen!  ",1
28,"Flüchtlinge hacken Rostocker die Hand ab – Rest musste amputiert werden.Welchen Wahnsinn wollen und müssen wir uns noch gefallen lassen, bevor die ReGIERung auf die ungekannte Gewalt- und Vergewaltigungswelle durch das neue Merkelgold reagiert? Muss es erst paramilitärische Bürgerwehren geben, damit dem islamistischen Treiben in unseren Städten ein Ende gesetzt wird? Baut endlich Abschiebe-Internierungslager für diese tollwütigen Bestien!  ",1
29,"Hannover: 75 christliche Gräber dem heiligen Krieg für Allah zum Opfer gefallenNach den schweren Verwüstungen auf dem Stadtfriedhof Ricklingen in Hannover sucht die Polizei nach den unbekannten Tätern. “Wir haben derzeit noch keine Ermittlungsansätze”, sagte eine Sprecherin am Sonntagmorgen gegenüber NDR.de. “Leider hat der Regen alle potenziellen Spuren vernichtet.” Die Ermittler würden daher auf Hinweise aus der Bevölkerung hoffen. Zeugen und Betroffene werden gebeten, sich unter der Telefonnummer (0511) 109 30 17 beim Polizeikommissariat Ricklingen zu melden. Die Polizei ermittelt wegen Sachbeschädigung sowie Störung der Totenruhe.  ",1
30,"Polizei keine Zeit für Grünen-Nonsens. In Deutschland wird gemessert und vergewaltigt durch Merkel-GästeBerlin. Wenige Tage vor der gerichtlichen Entscheidung über mögliche Dieselfahrverbote laufen die Polizeigewerkschaften Sturm gegen das Vorhaben, solche Einschränkungen von der Polizei kontrollieren zu lassen. „Die Kontrollen sind jenseits der Realität. Wir haben doch keine Hundertschaften, die wir aus dem Keller holen können“, kritisiert der Vorsitzende der Deutschen Polizeigewerkschaft Rainer Wendt. Seiner Erfahrung nach bräuchte es mehrere tausend zusätzliche Polizisten, um Kontrollen in Städten durchzuführen. „Jahrzehntelang hat die Politik nichts gemacht und die Autoindustrie abgefeiert. Und nun rufen sie die Polizei, damit wir sie retten. Das darf doch nicht wahr sein.“  ",1
31,"Abgelehnter “Flüchtling” schlitzt Wärter im Knast mit Cuttermesser aufJVA Zeithain griff er Mitgefangene an, nähte sich zudem den Mund zu. Deshalb wurde er in die JVA Dresden verlegt. Hier griff er u.a. einen tschechischen Mitgefangenen an. Begründung: Er müsse „Ungläubige vernichten“. Anschließend kam er in die JVA Bautzen. Dort geht er im Oktober 2016 auf Wärter Michael H. los. Mit der Faust – in der er eine zum Messer umgebaute Rasierklinge versteckte – schlug er ihm ins Gesicht, schnitt dem Beamten die Lippe bis auf den Muskel auf. ",1
32,"Zivilcourage: Einbrecher-Flüchtling mit Baseballschläger vermöbeltRavenstein – Nicht mit mir! Das dachte sich wohl eine 17-Jährige, als sie Freitagabend bei sich daheim verdächtige Geräusche gehört hatte. Sie schnappte sich einen Baseballschläger und überraschte einen Mann, der im Haus die Treppe hochgehen wollte. Ohne zu zögern schlug die junge Frau auf den Mann ein, der von ihr als 175 cm groß, kräftig, etwa 40 Jahre alt und südländisch beschrieben wurde. ",1
33,"Der Weihnachtsmarkt in Siegburg heisst jetzt orientalischer WintermarktFür die vielen Korangläubigen, die im islamisierten Siegburg im Kalifat NRW leben und die es mit christlichen Bräuchen nicht so haben, richtet der Bürgermeister Franz „Muhammad“ Huhn von der islamkriechenden Christlichen Döner-Union (CDU) dieses Jahr auf dem Weihnachtsmarkt, der jetzt „Wintermarkt“ heißt, einen „Orientalischen Wintermarkt“ mit 15 Ständen aus, die mit dem türkischen Halbmond geschmückt sind, wie die „Lokalzeit aus Bonn“ berichtete. Ob die deutschen Stände mit der deutschen Nationalfahne geschmückt sind, weiß man nicht, aber es ist unwahrscheinlich, da die antideutsche Moslem-Kanzlerin Merkel aus der Ostzone die deutsche Fahne ja seinerzeit unter dem Beifall ihrer Deutschland hassenden KollegInnen angeekelt wegschmiss.  ",1
34,"Projekt Todesborn – Flüchtlinge sollen mit deutschen Schülerinnen verpaart werdenDas ist richtig pervers und krank. Hier werden Steuergelder verschleudert, damit ein Verein durch Schulen tingeln kann, um Flüchtlinge mit einheimischen Schülerinnen zu verkuppeln. Wie schon das Projekt “Flirtkurse für Flüchtlinge”, bei welchen gelehrt wird, dass vor dem scheinbar obligatorischen Schlag in die Fresse als Erstkontakt von brünftigen “Flüchtingen” (Täglich 10 Vergewaltigungen in Deutschland durch Flüchtlinge) “deutsche Schlampen” (Flüchtlingsdenke) an den Hals geküsst werden wollen, werden auch hier Steuergelder in Millionenhöhe veruntreut, um mit einer Schulungstour durch 9te Klassen, den Flüchtlingen eine leichtere Verpaarung mit deutschen Schülerinnen zu ermöglichen.  ",1
35,"Steinzeitliche Flüchtlingsbestien stechen immer häufiger auf Deutsche einGegen 17.45 Uhr wurde der junge Mann in Höhe des Kaiserbrunnens von mehreren Personen zunächst angesprochen, doch dann zückte eine der Personen plötzlich ein Messer, womit er den 19-Jährigen angriff. Dieser erlitt im Oberkörperbereich leichte Stichverletzungen und kam in ein Bonner Krankenhaus.  ",1
36,"Muslime lauern Frauen nach Weihnachtsmarkt im Stadtpark von Halle aufDie 21-Jährige wurde dabei leicht verletzt, teilte die  Polizei mit. Der Vorfall ereignete bereits in der Nacht zu Sonntag gegen 0.30 Uhr. Die Frau saß im Stadtpark auf einer Bank, als sich die Männer näherten und versuchten, sie von der Bank zu ziehen. Als sich die Frau mit Pfefferspray zur Wehr setzte, flüchteten die Täter. Die Männer sollen dem Aussehen nach arabischer Herkunft sein. Die Frau hatte sich erst am Sonntagnachmittag dazu entschlossen, die Tat anzuzeigen.  ",1
37,"Lügenpresse verharmlost regelmäßig brutale Vergewaltigungen durch FlüchtlingeJunge Männer aus dem Ausland akzeptierten kein Nein und wurden gegenüber zwei Frauen in Schwedt handgreiflich. Die Anmacher-Masche eines 26-jährigen Iraners und eines 19-jährigen Afghanen fruchtete bei zwei Frauen (24 und 32 Jahre) am Sonntagabend nicht. Sie waren gegen 20 Uhr auf dem Weg zum Oder-Center in Schwedt und ließen die Männer wissen, dass sie keine Unterhaltung wünschten. ",1
38,"Wieder Joggerin von Vergwaltiger-Flüchtling angefallenDie 26-jährige Joggerin war auf dem Waldweg etwa Höhe des dortigen Kraftwerkes unterwegs, als sie zunächst von einem Radfahrer überholt wurde. Im weiteren Verlauf versuchte der Unbekannte, die Frau zu packen und im Schambereich zu berühren. Aufgrund der Gegenwehr der Geschädigten ließ der Mann von ihr ab, stieg auf sein Fahrrad und fuhr davon. Die Frau wurde bei dem Übergriff nicht verletzt….
 weiter lesen auf Augsburger-Allgemeine: http://www.augsburger-allgemeine.de/neu-ulm/Sexualstraftaeter-greift-Joggerin-an-der-Donau-an-id43062426.html ",1
39,"Achtung: Flüchtlinge lauern Friedhofsbesucher auf, um zu vergewaltigenEine 23-jährige Frau aus Lichtenfels wurde am Donnerstagabend (19. Oktober) auf dem Friedhof von Lichtenfels von einem unbekannten Mann massiv angegriffen. Eine Fahndung nach dem Täter blieb bislang erfolglos. Die Kripo ermittelt und sucht Zeugen. Täter stieß 23-Jährige zu Boden ",1
40,"Linksterroristen brechen bei FPÖ-Strache ein und installieren WanzenWie die Väter ihrer Gesinnung von der DDR-Staatssicherheit. Der Einbruch fand am Mittwochabend statt, die entdeckten Wanzen waren zum Abhören geeignet Wien – Im Büro von Vizekanzler Heinz-Christian Strache (FPÖ) ist am Mittwochabend ein Einbruch verübt worden. Eine verdächtige Person wurde von Mitarbeitern bemerkt, konnte aber unerkannt fliehen, gab das Innenministerium bekannt. Außerdem wurden in dem Büro Abhörwanzen gefunden, erklärte das Büro von Verteidigungsminister Mario Kunasek (FPÖ) und bestätigte damit entsprechende Medienberichte. Der Einbruch geschah laut Innenministerium am Mittwoch gegen 19 Uhr. Mitarbeiter nahmen demnach Geräusche in Straches Büro wahr. Als sie Nachschau hielten, hörten sie jemanden über die Nottreppe flüchten. Strache selbst war nicht im Büro. –  ",1
41,"Flüchtling tritt 3-jähriges Kind ins Krankenhaus, weil es ihm keinen Platz machte – Schädel-Hirn-TraumaEin Mann (Mietmauldeutsch für “Flüchtling”) (28) verlangt von dem Jungen, ihm Platz zu machen. Als das Kind nicht reagiert, tritt der Mann ihm in den Bauch und haut ab… Zwei Zeugen (22 und 39) rennen hinterher, stellen den Kindertreter. Der zieht ein Messer, doch die beiden couragierten Männer halten ihn in Schach, bis die Polizei kommt. Psycho-Klinik!   ",1
42,"Merkel will Millionen neuer Altenpfleger aus Afrika einschiffen lassenAlso was Merkel so auswirft, das könnte kein Satiremagazin besser, wenn es nicht gleichzeitig der pure Wahnsinn für unsere Senioren wäre. Wir wissen bereits, dass Alte auch in Seniorenheimen in Legion von afrikanischen Flüchtlingen vergewaltigt werden, so dass man ihnen die Demenz faktisch wünschen muss, um sie diese Erlebnisse vergessen zu lassen, wenn sie nicht gleich bestialisch abgeschlachtet werden... Für die BundesreGIERung natürlich wäre das forcierte Frühableben kostenintensiver Rentner ein Geschäft, da diese dann keine Rente mehr kassieren…  ",1
43,"Flüchtlinge bekommen DOCH Smartphones auf unsere Kosten geschenktTelefone, Waschmaschinen… Also doch Anschaffungskosten für Elektrogeräte zu Lasten der Steuerzahler? Sozialamt Graz und Media Markt schweigen sich bis dato vornehm aus … Das galt nach ewigen Dementi durch die Behörden und #Lügenpresse lange als Legende. Nun ist es doch wahr. Flüchtlinge bekommen teure Smartphones geschenkt, während Arbeiter und Angestellte in Deutschland und Österreich dafür Kredite (Ratenzahlung) aufnehmen müssen, um sich diese nicht selten sehr kostenintensiven Teile leisten zu können… Und was in Österreich die Regel ist, gilt schon lang in Deutschland, sonst wären die Herrenmenschen-Flüchtlinge alle in Österreich.  ",1
44,"Jeden Tag werden in Deutschland 10 Menschen von Flüchtlingen abgestochenEs gab über 1.600 Messerattacken in den ersten fünf Monaten des Jahres 2017. Das sind 300 jeden Monat oder zehn jeden Tag. Und wieviel Deutsche Bürger hat Merkel angerufen und sich für ihre Mittäterschaft entschuldigt, wenn sie Opfer illegaler, krimineller Asylanten-Messerstecher werden???  ",1
